Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2020-06-30;12;2;74;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-05-25;97;19;862;114;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;58.0;20.0;0.0;;;;
974;2021-05-29;163;38;1740;204;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;86.0;39.0;0.0;19;7;2;10
974;2020-12-09;25;4;336;27;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-12-27;43;7;711;51;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;0;0;1
974;2020-07-29;6;0;74;3;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-20;28;7;99;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-21;13;2;89;3;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-07;41;8;137;6;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-27;59;17;378;18;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;1;4
974;2021-02-17;39;12;431;28;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-02-18;57;25;413;30;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-02-22;45;17;443;31;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-02-23;50;16;444;32;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-06;148;56;936;77;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;10;4;1;9
974;2020-11-02;61;12;494;33;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;3;1;1;4
974;2020-11-22;87;16;594;43;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;5;1;0;3
974;2020-11-30;68;10;625;49;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;1;3
974;2020-12-03;31;6;321;27;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-07-24;78;27;1156;152;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;37.0;14.0;0.0;;;;
974;2021-08-04;77;21;1168;131;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;43.0;13.0;0.0;;;;
974;2021-08-06;81;17;1186;133;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;50.0;14.0;0.0;;;;
974;2021-08-10;203;54;2467;304;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;119.0;30.0;0.0;27;4;2;25
974;2021-11-03;37;4;1505;204;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;19.0;13.0;1.0;;;;
974;2020-03-18;2;2;0;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-09;22;3;24;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-12;9;0;40;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-16;19;4;83;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;1;0;7
974;2020-04-29;4;1;52;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-07;1;0;58;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-13;3;0;58;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-15;2;0;59;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-16;12;4;115;0;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;3;1;0;1
974;2020-05-20;10;2;116;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;1;1
974;2020-05-21;3;0;59;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-24;9;0;57;1;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-31;20;4;119;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-06-06;20;4;122;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-06-07;6;3;62;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-15;19;2;62;1;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-22;19;1;66;1;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-12;9;2;69;1;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-15;22;4;152;3;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;2;2;0;0
974;2020-07-16;7;1;71;1;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-28;5;1;67;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-21;153;50;1070;108;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;83.0;20.0;0.0;11;3;5;8
974;2021-04-09;99;32;624;80;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;51.0;16.0;0.0;;;;
974;2020-10-04;21;4;201;13;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-10-09;19;3;208;14;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-28;7;0;74;2;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-01;13;2;87;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-09;22;4;165;5;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-08-11;20;2;168;5;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;2
974;2020-08-13;8;1;78;3;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-15;8;2;80;3;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-24;47;8;195;7;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;5;0;1;2
974;2020-08-27;64;11;204;7;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;16;3;0;5
974;2020-09-04;36;10;131;5;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-11;39;4;151;6;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-19;30;7;161;10;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
