Période (Trimestre);Date;Catégorie;Tranche d'âge;Nb moyen demandeur emploi;Nb moyen demandeur emploi Homme;Nb moyen demandeur emploi Femme;Différence Nb demandeur emploi trimestre précédent;Nb moyen entrées;Nb moyen sorties;Nb moyen demandeur emploi longue durée;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
2019-T3;2019-07;B;Indifférent;12410;;;-60.0;;;;974;Réunion;04;La Réunion;REU
2001-T1;2001-01;C;Indifférent;5100;;;160.0;;;;974;Réunion;04;La Réunion;REU
2005-T4;2005-10;C;Indifférent;6140;;;20.0;;;;974;Réunion;04;La Réunion;REU
2008-T1;2008-01;C;Indifférent;6400;;;110.0;;;;974;Réunion;04;La Réunion;REU
2018-T2;2018-04;C;Indifférent;15970;;;770.0;;;;974;Réunion;04;La Réunion;REU
2019-T4;2019-10;C;Indifférent;16570;;;-170.0;;;;974;Réunion;04;La Réunion;REU
1996-T3;1996-07;D;Indifférent;2920;;;-660.0;;;;974;Réunion;04;La Réunion;REU
2003-T1;2003-01;D;Indifférent;3930;;;790.0;;;;974;Réunion;04;La Réunion;REU
2015-T3;2015-07;D;Indifférent;3500;;;-190.0;;;;974;Réunion;04;La Réunion;REU
2018-T1;2018-01;D;Indifférent;4520;;;-10.0;;;;974;Réunion;04;La Réunion;REU
1999-T3;1999-07;E;Indifférent;4450;;;-290.0;;;;974;Réunion;04;La Réunion;REU
2003-T4;2003-10;E;Indifférent;7520;;;830.0;;;;974;Réunion;04;La Réunion;REU
2018-T3;2018-07;E;Indifférent;9170;;;-1140.0;;;;974;Réunion;04;La Réunion;REU
2019-T3;2019-07;E;Indifférent;10940;;;720.0;;;;974;Réunion;04;La Réunion;REU
1996-T1;1996-01;ABC;Entre 25 et 49 ans;67880;;;;;;;974;Réunion;04;La Réunion;REU
2001-T1;2001-01;ABC;Entre 25 et 49 ans;85600;;;-110.0;;;;974;Réunion;04;La Réunion;REU
2010-T4;2010-10;ABC;Entre 25 et 49 ans;88560;;;2250.0;;;;974;Réunion;04;La Réunion;REU
2013-T3;2013-07;ABC;Entre 25 et 49 ans;100340;;;-230.0;;;;974;Réunion;04;La Réunion;REU
2015-T2;2015-04;ABC;Entre 25 et 49 ans;101060;;;1300.0;;;;974;Réunion;04;La Réunion;REU
2020-T1;2020-01;ABC;Entre 25 et 49 ans;95170;;;-1590.0;;;;974;Réunion;04;La Réunion;REU
2004-T4;2004-10;ABC;Moins de 25 ans;20650;;;-90.0;;;;974;Réunion;04;La Réunion;REU
1998-T2;1998-04;A;Indifférent;107370;;;-1080.0;;;;974;Réunion;04;La Réunion;REU
1999-T3;1999-07;A;Indifférent;109270;;;-790.0;;;;974;Réunion;04;La Réunion;REU
2006-T4;2006-10;A;Indifférent;79840;;;-1510.0;;;;974;Réunion;04;La Réunion;REU
2001-T3;2001-07;ABC;Plus de 50 ans;8390;;;100.0;;;;974;Réunion;04;La Réunion;REU
2004-T3;2004-07;ABC;Plus de 50 ans;8720;;;130.0;;;;974;Réunion;04;La Réunion;REU
2002-T2;2002-04;ABC;Indifférent;116980;57970;59010;-1030.0;9720.0;9690.0;54040.0;974;Réunion;04;La Réunion;REU
2004-T1;2004-01;ABC;Indifférent;103000;51140;51870;-1680.0;10460.0;10840.0;43390.0;974;Réunion;04;La Réunion;REU
2005-T1;2005-01;ABC;Indifférent;102910;50530;52380;580.0;9330.0;9640.0;43110.0;974;Réunion;04;La Réunion;REU
2005-T2;2005-04;ABC;Indifférent;100970;49400;51570;-1940.0;9260.0;9420.0;43360.0;974;Réunion;04;La Réunion;REU
